title,studio,domestic_gross,foreign_gross,year,total_gross
Happy Feet Two,WB,64000000.0,86400000.0,2011,150400000.0
I Am Number Four,BV,55100000.0,94800000.0,2011,149900000.0
Jack and Jill,SPC,74200000.0,75500000.0,2011,149700000.0
Friends with Benefits,SGem,55800000.0,93700000.0,2011,149500000.0
No Strings Attached,Par.,70700000.0,78600000.0,2011,149300000.0
Arthur Christmas,SPC,46500000.0,101000000.0,2011,147500000.0
Source Code,Sum.,54700000.0,92600000.0,2011,147300000.0
"Crazy, Stupid, Love.",WB,84400000.0,58500000.0,2011,142900000.0
New Year's Eve,WB,54500000.0,87500000.0,2011,142000000.0
Contagion,WB,75700000.0,59800000.0,2011,135500000.0
The Artist,Wein.,44700000.0,88800000.0,2011,133500000.0
The Three Musketeers (2011),Sum.,20400000.0,111900000.0,2011,132300000.0
Unknown,WB,63700000.0,67099999.0,2011,130799999.0
The Adjustment Bureau,Uni.,62500000.0,65400000.0,2011,127900000.0
We Bought a Zoo,Fox,75600000.0,44500000.0,2011,120100000.0
Water for Elephants,Fox,58700000.0,58400000.0,2011,117100000.0
The Iron Lady,Wein.,30000000.0,84900000.0,2011,114900000.0
Moneyball,SPC,75600000.0,34600000.0,2011,110200000.0
Sanctum,Uni.,23200000.0,85400000.0,2011,108600000.0
Justin Bieber: Never Say Never,Par.,73000000.0,26000000.0,2011,99000000.0
Paul,Uni.,37400000.0,60600000.0,2011,98000000.0
Scream 4,W/Dim.,38200000.0,59000000.0,2011,97200000.0
Insidious,FD,54000000.0,43000000.0,2011,97000000.0
The Rite,WB,33000000.0,63000000.0,2011,96000000.0
Dolphin Tale,WB,72300000.0,23100000.0,2011,95400000.0
Season of the Witch,Rela.,24800000.0,66800000.0,2011,91600000.0
Sucker Punch,WB,36400000.0,53400000.0,2011,89800000.0
Red Riding Hood,WB,37700000.0,51500000.0,2011,89200000.0
Spy Kids: All the Time in the World,W/Dim.,38500000.0,47000000.0,2011,85500000.0
J. Edgar,WB,37300000.0,47600000.0,2011,84900000.0
Hall Pass,WB,45100000.0,38100000.0,2011,83200000.0
"Big Mommas: Like Father, Like Son",Fox,37900000.0,44800000.0,2011,82700000.0
Abduction,LGF,28100000.0,54000000.0,2011,82100000.0
"Tinker, Tailor, Soldier, Spy",Focus,24100000.0,56500000.0,2011,80600000.0
Priest,SGem,29100000.0,49200000.0,2011,78300000.0
Drive (2011),FD,35100000.0,41100000.0,2011,76200000.0
The Mechanic,CBS,29100000.0,47000000.0,2011,76100000.0
The Ides of March,SPC,41000000.0,35000000.0,2011,76000000.0
The Change-Up,Uni.,37100000.0,38400000.0,2011,75500000.0
The Lincoln Lawyer,LGF,58000000.0,17000000.0,2011,75000000.0
Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000.0,19700000.0,2011,72400000.0
